sample,dissolved H2O wt%,dissolved CO2 ppm,wt% SiO2,wt% TiO2,wt% Al2O3,wt% FeO,wt% MnO,wt% MgO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,Pressure (bar),XfH2O
LL4_14_c,0.292205571185983,265.361398695677,50.91,3.467,13.114,11.883,0.171,6.434,9.597,2.813,0.738,0.397,237,0.047
LL4_14_b,0.294220582434742,281.02360296024,50.967,3.493,13.094,11.857,0.21,6.419,9.528,2.874,0.688,0.392,247,0.046
LL4_20,0.266506424031007,82.736854052689,51.825,2.558,13.082,11.511,0.104,6.88,10.519,2.333,0.473,0.274,79,0.118
LL4_31b,0.27786137618793,120.531617190077,51.373,2.452,13.193,11.37,0.194,7.441,10.44,2.409,0.407,0.269,99,0.102
LL4_31a,0.277668598762102,123.240838424814,51.29,2.374,13.332,11.333,0.182,7.41,10.474,2.441,0.407,0.308,92,0.11
LL4_32b,0.281434382685696,225.560571506297,51.255,2.763,13.171,11.336,0.233,7.063,10.297,2.576,0.538,0.314,191,0.054
LL4_32a,0.259636309742537,118.805080484562,51.574,2.481,13.175,11.336,0.191,7.155,10.567,2.415,0.402,0.27,97,0.092
LL8_249a,0.208863146555396,10.8662455424362,51.013,2.422,12.885,11.333,0.214,7.666,11.233,2.201,0.404,0.246,14,0.427
LL8_249b,0.205772665970905,192.370868621815,51.167,2.376,12.879,11.374,0.188,7.728,11.084,2.176,0.405,0.244,139,0.042
LL8_249c,0.0883470075509956,331.170914413154,51.446,2.536,13.028,11.337,0.152,7.682,10.541,2.296,0.503,0.219,257,0.005
LL8_249d,0.0858488600267015,247.863789038054,51.232,2.519,13.068,11.338,0.158,7.683,10.816,2.248,0.434,0.249,247,0.005
LL7_272,0.216037841735581,124.667563783506,51.733,2.919,13.226,11.505,0.153,6.805,10.027,2.445,0.511,0.287,111,0.057
LL4_19b,0.309425494301209,417.671402631691,50.793,2.55,13.523,11.337,0.179,7.432,10.594,2.303,0.429,0.378,365,0.034
LL4_33b,0.300706398435323,247.268516134583,51.353,2.704,13.478,11.386,0.287,6.884,10.216,2.39,0.487,0.34,258,0.045
LL4_30,0.295959702932475,281.44123774776,50.793,2.719,13.605,11.344,0.179,6.948,10.582,2.545,0.469,0.343,246,0.046
LL4_34a,0.287955098705428,318.505394788878,51.305,2.871,13.222,11.356,0.114,7.605,9.691,2.581,0.504,0.294,317,0.034
LL4_34b,0.296128438294841,308.891934467854,51.211,2.904,13.221,11.44,0.247,7.303,9.771,2.561,0.52,0.354,277,0.041
LL7_110a,0.175823448989258,37.4224718016255,49.885,1.967,11.312,11.332,0.209,12.754,9.66,2.043,0.319,0.172,23,0.19
LL7_110b,0.185753386716018,51.3690072197587,49.722,1.977,11.411,11.335,0.2,12.709,9.745,2.034,0.349,0.162,28,0.172
LL7_105a,0.175180552393817,37.35249507579,49.053,2.081,11.475,11.339,0.164,13.091,9.561,2.132,0.422,0.336,27,0.161
LL7_105b,0.174760402688984,31.2332296868571,49.673,1.992,11.111,11.336,0.202,13.246,9.478,2.053,0.352,0.212,19,0.227
LL7_107,0.173467510279311,147.004062631725,49.614,2.157,11.618,11.338,0.151,12.171,9.936,2.066,0.406,0.198,97,0.044
LL8_402a,0.197092668504243,35.5101118335617,49.73,2.166,12.019,11.331,0.254,11.073,10.214,2.242,0.34,0.261,27,0.199
LL8_402b,0.196217777818124,44.1016939793133,50.001,2.131,11.749,11.338,0.168,11.017,10.317,2.329,0.383,0.197,27,0.198
LL8_447,0.193069493388955,75.450249335541,49.206,2.655,12.17,11.342,0.158,11.163,10.173,2.046,0.308,0.415,54,0.096
LL4_17_A,0.285900011034874,247.899494234742,51.015,3.374,13.208,11.339,0.204,7.373,9.119,2.782,0.699,0.433,279,0.038
LL4_17_C1,0.305929109234858,221.364823040243,51.822,2.722,13.341,11.341,0.181,7.376,9.145,2.85,0.447,0.299,218,0.055
LL4_17_C2,0.278700261636428,213.24693890562,51.974,2.796,13.088,11.338,0.142,7.378,9.343,2.751,0.48,0.258,160,0.064
LL4_24a,0.302620889179233,255.284405526514,50.529,2.634,13.747,11.386,0.215,6.974,10.891,2.354,0.506,0.286,211,0.056
LL4_24b,0.300383022157144,328.612022162233,50.216,2.624,13.931,11.43,0.243,6.961,10.886,2.445,0.489,0.3,274,0.043
LL7_270,0.183983150133768,37.2981206872502,50.557,2.163,12.827,11.338,0.162,9.527,10.109,2.321,0.438,0.205,36,0.132
LL7_204,0.216564243279208,107.22571915701,50.168,2.372,12.643,11.332,0.256,9.004,11.014,2.103,0.459,0.258,95,0.067
LL7_106b,0.214494545879189,136.213829435609,50.838,2.47,12.907,11.338,0.129,8.431,10.193,2.633,0.392,0.281,100,0.063
LL8_3001,0.217126401641272,173.226937044604,49.329,2.218,13.395,11.332,0.184,8.866,11.143,2.232,0.491,0.419,144,0.045
LL8_435,0.199244238593279,237.930422071247,49.754,2.681,13.085,11.332,0.249,9.184,10.218,2.357,0.517,0.256,183,0.03
LL8_623_c,0.216259953792386,334.645281323596,49.58,2.651,12.393,11.333,0.18,9.971,10.484,2.282,0.441,0.295,283,0.023
LL8_634,0.208328279791178,265.905880106877,51.241,3.417,12.558,11.337,0.208,7.665,9.749,2.6,0.564,0.279,190,0.031
LL8_202_a,0.17680324124123,43.7429235023995,49.502,2.054,11.122,11.337,0.169,12.983,9.756,2.169,0.323,0.232,27,0.163
LL8_202_b,0.180988863230302,19.1490163210524,49.629,1.933,11.224,11.339,0.164,12.722,9.999,2.11,0.316,0.211,14,0.329
LL8_400_b,0.173047641778442,34.8262591495142,49.508,2.1,10.774,11.335,0.187,13.183,9.887,2.08,0.337,0.258,20,0.212
LL8_155_c,0.184079926135179,64.0442769693573,49.468,1.999,11.505,11.338,0.168,12.453,9.948,2.286,0.266,0.207,35,0.136
LL4_39b,0.287697544238608,260.403875566767,51.579,2.151,13.568,11.409,0.164,6.799,10.503,2.723,0.381,0.257,190,0.057
LL7_205b,0.179658433503932,34.0100630030831,50.008,2.059,11.842,11.338,0.173,11.378,9.999,2.276,0.385,0.186,22,0.206
LL7_118,0.178672199664927,50.7259511957668,49.996,2.046,12.364,11.338,0.185,10.871,9.964,2.294,0.388,0.206,43,0.105
